owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,commit_id,commit_message,badge
jimbrig,VBASuite,jimbrig/VBASuite,1,1,0,0,FALSE,https://github.com/jimbrig/VBASuite,1,NA,NA,NA
jimbrig,vue-example,jimbrig/vue-example,0,1,5,0,FALSE,https://github.com/jimbrig/vue-example,0,NA,NA,NA
jimbrig,website-nextjs,jimbrig/website-nextjs,0,1,0,0,FALSE,https://github.com/jimbrig/website-nextjs,0,NA,NA,NA
jimbrig,WindowsPowerShell,jimbrig/WindowsPowerShell,1,1,0,0,FALSE,https://github.com/jimbrig/WindowsPowerShell,1,NA,NA,NA
jimbrig,WindowsSetup,jimbrig/WindowsSetup,3,1,0,0,FALSE,https://github.com/jimbrig/WindowsSetup,3,NA,NA,NA
jimbrig,winreg,jimbrig/winreg,0,1,0,0,FALSE,https://github.com/jimbrig/winreg,0,NA,NA,NA
jimbrig,winsetup,jimbrig/winsetup,2,1,0,0,FALSE,https://github.com/jimbrig/winsetup,2,NA,NA,NA
jimbrig,working-memory-txt,jimbrig/working-memory-txt,1,1,0,0,FALSE,https://github.com/jimbrig/working-memory-txt,1,NA,NA,NA
jimbrig,wsl-dotfiles,jimbrig/wsl-dotfiles,1,1,0,0,FALSE,https://github.com/jimbrig/wsl-dotfiles,1,NA,NA,NA
jimbrig,wsl-history,jimbrig/wsl-history,1,1,0,0,FALSE,https://github.com/jimbrig/wsl-history,1,NA,NA,NA
jimbrig,wsldots,jimbrig/wsldots,1,1,0,0,FALSE,https://github.com/jimbrig/wsldots,1,99af4b3faf657806bb9222dbb8c8dfbd638c2a8a,feat: update brewfile with new installs,[![](https://github.com/jimbrig/wsldots/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/wsldots/actions/runs/2213554156)
jimbrig,wsldotz,jimbrig/wsldotz,1,1,0,0,FALSE,https://github.com/jimbrig/wsldotz,1,NA,NA,NA
jimbrig,XDG_CONFIG_HOME_R,jimbrig/XDG_CONFIG_HOME_R,1,1,0,0,FALSE,https://github.com/jimbrig/XDG_CONFIG_HOME_R,1,f451e37de6b3bf5da7fb4735a865e315f7fbeee2,Merge branch 'main' into develop,[![](https://github.com/jimbrig/XDG_CONFIG_HOME_R/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/XDG_CONFIG_HOME_R/actions/runs/2307048137)
jimbrig,xl-config,jimbrig/xl-config,1,1,0,0,FALSE,https://github.com/jimbrig/xl-config,1,NA,NA,NA
jimbrig,xl-macros,jimbrig/xl-macros,1,0,0,0,FALSE,https://github.com/jimbrig/xl-macros,1,NA,NA,NA
jimbrig,xlUtilities,jimbrig/xlUtilities,1,1,0,0,FALSE,https://github.com/jimbrig/xlUtilities,1,NA,NA,NA
jimbrig,zshrc,jimbrig/zshrc,0,1,0,0,FALSE,https://github.com/jimbrig/zshrc,0,NA,NA,NA
rinterface,shinydashboardPlus,RinteRface/shinydashboardPlus,388,17,33,67,FALSE,https://github.com/RinteRface/shinydashboardPlus,NA,c8c7b13046d408201ec87016e382fc7b0d8227d5,try to fix pkgdown,[![](https://github.com/RinteRface/shinydashboardPlus/workflows/R-CMD-check/badge.svg)](https://github.com/RinteRface/shinydashboardPlus/actions/runs/1687214178) [![](https://github.com/RinteRface/shinydashboardPlus/workflows/pkgdown/badge.svg)](https://github.com/RinteRface/shinydashboardPlus/actions/runs/1687214179)
